priority,scope,entity,opportunity_score,evidence_level,headline,recommended_action,evidence
HIGH,PRODUCT,Biquíni Riva Pérola,39.9,EXPLORATORY,Biquíni Riva Pérola: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=120.0; desconto=65.17; grade_score=11.8
HIGH,PRODUCT,Biquíni Riva Azul Índigo,32.0,EXPLORATORY,Biquíni Riva Azul Índigo: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=120.0; desconto=65.17; grade_score=11.8
HIGH,PRODUCT,Biquíni Eaton Preto,30.6,EXPLORATORY,Biquíni Eaton Preto: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=116.0; desconto=68.18; grade_score=11.8
HIGH,PRODUCT,Biquíni Eaton Pérola,29.7,EXPLORATORY,Biquíni Eaton Pérola: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=116.0; desconto=68.18; grade_score=11.8
HIGH,PRODUCT,Conjunto Althea Preto,27.7,EXPLORATORY,Conjunto Althea Preto: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Conjuntos; preço=399.5; desconto=60.01; grade_score=27.3
MEDIUM,PRODUCT,BIQUÍNI VITTO + PAREÔ | PRETO,88.8,MODERATE,BIQUÍNI VITTO + PAREÔ | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=986.1; desconto=0.0; grade_score=83.2
MEDIUM,PRODUCT,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,86.1,MODERATE,BIQUÍNI EASTON + PAREÔ | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=1048.0; desconto=0.0; grade_score=83.2
MEDIUM,PRODUCT,Vestido Sartori Off-White,85.2,MODERATE,Vestido Sartori Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Sartori Preto,83.5,MODERATE,Vestido Sartori Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Sartori Vermelho,82.1,MODERATE,Vestido Sartori Vermelho: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,BODY CHIARA + PANTALONA SAVOYE | OFF-WHITE,81.9,MODERATE,BODY CHIARA + PANTALONA SAVOYE | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1822.1; desconto=0.0; grade_score=98.1
MEDIUM,PRODUCT,Vestido Roland Off-White,81.4,MODERATE,Vestido Roland Off-White: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Fontaine Off-White,81.4,MODERATE,Vestido Fontaine Off-White: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Salvi Off-White,81.4,MODERATE,Vestido Salvi Off-White: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Walker Off-White,81.4,MODERATE,Vestido Walker Off-White: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,BODY ROCCO + PANTALONA FLARE | PRETO,80.2,MODERATE,BODY ROCCO + PANTALONA FLARE | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1651.1; desconto=0.0; grade_score=98.1
MEDIUM,PRODUCT,Vestido Salvi Preto,79.7,MODERATE,Vestido Salvi Preto: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Fontaine Preto,79.7,MODERATE,Vestido Fontaine Preto: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Walker Preto,79.7,MODERATE,Vestido Walker Preto: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Roland Preto,79.7,MODERATE,Vestido Roland Preto: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,BODY EMMA + PANTALONA BRAXTON | PRETO,79.6,MODERATE,BODY EMMA + PANTALONA BRAXTON | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1689.1; desconto=0.0; grade_score=90.4
MEDIUM,PRODUCT,BODY ROCCO + PANTALONA FLARE | OFF-WHITE,79.5,MODERATE,BODY ROCCO + PANTALONA FLARE | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1651.1; desconto=0.0; grade_score=98.1
MEDIUM,PRODUCT,BODY EMMA + PANTALONA BRAXTON | OFF-WHITE,79.0,MODERATE,BODY EMMA + PANTALONA BRAXTON | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1689.1; desconto=0.0; grade_score=90.4
MEDIUM,PRODUCT,BIQUÍNI EASTON + PAREÔ | MARROM,79.0,MODERATE,BIQUÍNI EASTON + PAREÔ | MARROM: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=995.6; desconto=0.0; grade_score=83.2
MEDIUM,PRODUCT,Vestido Maddox Off-White,78.8,MODERATE,Vestido Maddox Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Cropped Carlo Off-White,78.5,MODERATE,Cropped Carlo Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Croppeds; preço=859.0; desconto=0.0; grade_score=98.4
MEDIUM,PRODUCT,Vestido Fontaine Vermelho,78.3,MODERATE,Vestido Fontaine Vermelho: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Roland Vermelho,78.3,MODERATE,Vestido Roland Vermelho: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Walker Vermelho,78.3,MODERATE,Vestido Walker Vermelho: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Salvi Vermelho,78.3,MODERATE,Vestido Salvi Vermelho: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Bridget Vermelho,78.3,MODERATE,Vestido Bridget Vermelho: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Osbert Off-White,77.8,MODERATE,Vestido Osbert Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2289.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Cropped Carlo Preto,77.6,MODERATE,Cropped Carlo Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Croppeds; preço=859.0; desconto=0.0; grade_score=98.4
MEDIUM,PRODUCT,BODY EMMA + SHORT CALEB | PRETO,77.2,MODERATE,BODY EMMA + SHORT CALEB | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Bodies; preço=1404.1; desconto=0.0; grade_score=90.4
MEDIUM,PRODUCT,Vestido Osbert Preto,76.2,MODERATE,Vestido Osbert Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2289.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Vestido Maddox Vermelho,75.7,MODERATE,Vestido Maddox Vermelho: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Vestido Ivory Off-White,74.9,MODERATE,Vestido Ivory Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Conjunto Ivy Preto,74.6,MODERATE,Conjunto Ivy Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Conjuntos; preço=497.25; desconto=50.0; grade_score=77.3
MEDIUM,PRODUCT,CORSELET KIMBELL + PANTALONA SAVOYE | PRETO,74.1,MODERATE,CORSELET KIMBELL + PANTALONA SAVOYE | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Unknown; preço=1822.1; desconto=0.0; grade_score=94.4
MEDIUM,PRODUCT,CORSELET KIMBELL + PANTALONA SAVOYE | OFF-WHITE,74.1,MODERATE,CORSELET KIMBELL + PANTALONA SAVOYE | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Unknown; preço=1822.1; desconto=0.0; grade_score=94.4
MEDIUM,PRODUCT,BLAZER CARMINE + PANTALONA SAVOYE | PRETO,73.8,MODERATE,BLAZER CARMINE + PANTALONA SAVOYE | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blazers; preço=2392.1; desconto=0.0; grade_score=76.8
MEDIUM,PRODUCT,Conjunto Ivy Off-White,73.6,MODERATE,Conjunto Ivy Off-White: Premium Anchor,Revisar sobreposição estrutural com itens semelhantes; validar diferenciação com vendas e margem quando disponíveis.,categoria=Conjuntos; preço=497.25; desconto=50.0; grade_score=77.3
MEDIUM,PRODUCT,Vestido Ivory Preto,73.3,MODERATE,Vestido Ivory Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=61.0
MEDIUM,PRODUCT,Pantalona Flare Off-White,72.6,MODERATE,Pantalona Flare Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Calças; preço=989.0; desconto=0.0; grade_score=89.6
MEDIUM,PRODUCT,BLAZER CARMINE + PANTALONA SAVOYE | OFF-WHITE,72.0,MODERATE,BLAZER CARMINE + PANTALONA SAVOYE | OFF-WHITE: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blazers; preço=2392.1; desconto=0.0; grade_score=76.8
MEDIUM,PRODUCT,Short Caleb Preto,72.0,MODERATE,Short Caleb Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Shorts; preço=689.0; desconto=0.0; grade_score=95.0
MEDIUM,PRODUCT,BLUSA PERCY + SAIA REMMY | PRETO,71.7,MODERATE,BLUSA PERCY + SAIA REMMY | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blusas; preço=1879.1; desconto=0.0; grade_score=69.2
MEDIUM,PRODUCT,Macaquinho Neil Preto,71.2,MODERATE,Macaquinho Neil Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Unknown; preço=1289.0; desconto=0.0; grade_score=94.4
MEDIUM,PRODUCT,Vestido Salvi Azul,71.1,MODERATE,Vestido Salvi Azul: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Sartori Rosê,70.8,MODERATE,Vestido Sartori Rosê: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=2389.0; desconto=0.0; grade_score=86.7
MEDIUM,CATEGORY,Biquínis,58.5,MODERATE,Biquínis: concentração de markdown requer investigação,"Revisar arquitetura promocional, diferenciação e papel dos itens; validar com margem, estoque e vendas antes de agir.",itens=110; markdown_watch=17; hero=0; premium_anchor=8; score_medio=50.5
MEDIUM,PRODUCT,BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,80.4,EXPLORATORY,BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=1261.6; desconto=0.0; grade_score=44.5
MEDIUM,PRODUCT,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA,79.1,EXPLORATORY,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=1252.1; desconto=0.0; grade_score=44.5
MEDIUM,PRODUCT,Saia Riley Preto,69.9,EXPLORATORY,Saia Riley Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Saias; preço=859.0; desconto=0.0; grade_score=97.2
MEDIUM,PRODUCT,Saia Riley Off-White,69.9,EXPLORATORY,Saia Riley Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Saias; preço=859.0; desconto=0.0; grade_score=97.2
MEDIUM,PRODUCT,Short Caleb Off-White,69.7,EXPLORATORY,Short Caleb Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Shorts; preço=689.0; desconto=0.0; grade_score=95.0
MEDIUM,PRODUCT,Saia Remmy Preto,68.9,EXPLORATORY,Saia Remmy Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Saias; preço=989.0; desconto=0.0; grade_score=77.8
MEDIUM,PRODUCT,BLUSA ALEXIS OFF-WHITE + CALÇA JEANS MALCOLM AZUL ESCURO,68.8,EXPLORATORY,BLUSA ALEXIS OFF-WHITE + CALÇA JEANS MALCOLM AZUL ESCURO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blusas; preço=1755.6; desconto=0.0; grade_score=69.2
MEDIUM,PRODUCT,BLUSA PERCY OFF-WHITE + CALÇA JEANS MALCOLM AZUL CLARO,68.8,EXPLORATORY,BLUSA PERCY OFF-WHITE + CALÇA JEANS MALCOLM AZUL CLARO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blusas; preço=1755.6; desconto=0.0; grade_score=69.2
MEDIUM,PRODUCT,Pantalona Flare Preta,68.5,EXPLORATORY,Pantalona Flare Preta: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Calças; preço=989.0; desconto=0.0; grade_score=89.6
MEDIUM,PRODUCT,Vestido Roland Marrom,68.2,EXPLORATORY,Vestido Roland Marrom: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Pareô Grazia Preto,67.5,EXPLORATORY,Pareô Grazia Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Pareôs; preço=739.0; desconto=0.0; grade_score=73.9
MEDIUM,PRODUCT,Pantalona Braxton Off-White,66.4,EXPLORATORY,Pantalona Braxton Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Calças; preço=989.0; desconto=0.0; grade_score=64.6
MEDIUM,PRODUCT,Biquíni Bonneville Preto,66.3,EXPLORATORY,Biquíni Bonneville Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=260.0; desconto=60.55; grade_score=44.5
MEDIUM,PRODUCT,Pareô Grazia Pérola,66.2,EXPLORATORY,Pareô Grazia Pérola: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Pareôs; preço=739.0; desconto=0.0; grade_score=73.9
MEDIUM,PRODUCT,Vestido Walker Framboesa,65.9,EXPLORATORY,Vestido Walker Framboesa: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Fontaine Framboesa,65.9,EXPLORATORY,Vestido Fontaine Framboesa: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=86.7
MEDIUM,PRODUCT,Vestido Tess Off-White,65.8,EXPLORATORY,Vestido Tess Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=24.6
MEDIUM,PRODUCT,BLAZER CARMINE CARAMELO + CALÇA JEANS MALCOLM AZUL CLARO,65.8,EXPLORATORY,BLAZER CARMINE CARAMELO + CALÇA JEANS MALCOLM AZUL CLARO: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Blazers; preço=2325.6; desconto=0.0; grade_score=76.8
MEDIUM,PRODUCT,Vestido Zephyr Off-White,65.8,EXPLORATORY,Vestido Zephyr Off-White: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Vestidos; preço=1989.0; desconto=0.0; grade_score=24.6
MEDIUM,PRODUCT,Biquíni Finca Preto,65.6,EXPLORATORY,Biquíni Finca Preto: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=242.0; desconto=58.2; grade_score=11.8
MEDIUM,PRODUCT,Biquíni Bonneville Pérola,65.4,EXPLORATORY,Biquíni Bonneville Pérola: Premium Anchor,"Proteger percepção de valor, conteúdo e disponibilidade de grade; candidato a âncora premium.",categoria=Biquínis; preço=260.0; desconto=60.55; grade_score=44.5
LOW,CATEGORY,Vestidos,50.4,EXPLORATORY,Vestidos: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=173; markdown_watch=0; hero=2; premium_anchor=29; score_medio=55.2
LOW,CATEGORY,Bodies,42.2,EXPLORATORY,Bodies: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=52; markdown_watch=0; hero=0; premium_anchor=6; score_medio=50.5
LOW,CATEGORY,Conjuntos,40.9,EXPLORATORY,Conjuntos: concentração de markdown requer investigação,"Revisar arquitetura promocional, diferenciação e papel dos itens; validar com margem, estoque e vendas antes de agir.",itens=22; markdown_watch=3; hero=0; premium_anchor=2; score_medio=47.1
LOW,CATEGORY,Blusas,34.6,EXPLORATORY,Blusas: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=26; markdown_watch=0; hero=0; premium_anchor=3; score_medio=49.8
LOW,CATEGORY,Blazers,33.9,EXPLORATORY,Blazers: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=28; markdown_watch=0; hero=0; premium_anchor=3; score_medio=48.6
LOW,CATEGORY,Sobretudos,33.4,EXPLORATORY,Sobretudos: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=1; markdown_watch=0; hero=0; premium_anchor=0; score_medio=60.7
LOW,CATEGORY,Calças,32.6,EXPLORATORY,Calças: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=24; markdown_watch=0; hero=0; premium_anchor=3; score_medio=46.1
LOW,CATEGORY,Unknown,32.6,EXPLORATORY,Unknown: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=18; markdown_watch=0; hero=0; premium_anchor=3; score_medio=46.2
LOW,CATEGORY,Saias,32.0,EXPLORATORY,Saias: arquitetura premium/hero estruturalmente relevante,"Proteger diferenciação e grade; validar produtividade, margem e disponibilidade quando dados internos forem conectados.",itens=18; markdown_watch=0; hero=0; premium_anchor=3; score_medio=45.1
LOW,CATEGORY,Croppeds,30.6,EXPLORATORY,Croppeds: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=32; markdown_watch=0; hero=0; premium_anchor=2; score_medio=46.9
LOW,CATEGORY,Shorts,30.2,EXPLORATORY,Shorts: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=10; markdown_watch=0; hero=0; premium_anchor=2; score_medio=46.2
LOW,CATEGORY,Pareôs,29.2,EXPLORATORY,Pareôs: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=23; markdown_watch=0; hero=0; premium_anchor=2; score_medio=44.3
LOW,CATEGORY,Macacões,27.3,EXPLORATORY,Macacões: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=42; markdown_watch=0; hero=0; premium_anchor=0; score_medio=49.7
LOW,CATEGORY,Saídas,24.6,EXPLORATORY,Saídas: categoria em observação estrutural,Monitorar evolução do mix e sinais temporais.,itens=8; markdown_watch=0; hero=0; premium_anchor=0; score_medio=44.7
